EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,DistanceFromHome,EducationLevel,BusinessTravel,OverTime,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,PromotionLast5Years,Attrition
EMP00015,25,R&D,Intern,3909.26,2,2.0,3,Travel_Rarely,Yes,1.0,3,3,2,1,Yes
EMP01082,37,Engineering,Senior,9678.95,12,11.0,4,Travel_Rarely,No,3.0,3,3,4,0,No
EMP01388,38,Sales,Junior,,1,,4,Travel_Rarely,No,,3,3,0,0,No
EMP00923,39,HR,Executive,16510.97,5,8.0,4,Travel_Rarely,Yes,3.0,4,3,1,0,No
EMP00418,33,HR,Manager,9598.16,0,3.0,4,Non-Travel,No,3.0,2,2,2,0,No
EMP00247,35,R&D,Junior,5065.25,11,24.0,2,Travel_Frequently,No,4.0,2,3,1,0,No
EMP00273,35,Sales,Junior,4082.07,1,16.0,2,Travel_Frequently,No,3.0,3,3,2,0,No
EMP01057,29,HR,Junior,5986.61,8,1.0,3,Travel_Frequently,Yes,3.0,1,3,2,0,No
EMP00682,38,Sales,Junior,5239.22,1,1.0,5,Travel_Rarely,Yes,4.0,1,3,0,0,No
EMP01240,34,Sales,Senior,7650.17,1,19.0,4,Non-Travel,No,4.0,3,3,3,1,No
EMP01360,39,R&D,Senior,6173.16,0,21.0,2,Travel_Frequently,No,3.0,3,2,1,0,Yes
EMP01274,20,Engineering,Senior,6621.11,0,5.0,3,Travel_Rarely,No,3.0,3,3,2,0,No
EMP00527,55,Engineering,Manager,9994.13,2,15.0,2,Travel_Rarely,No,3.0,4,3,1,0,No
EMP00663,32,Engineering,Junior,4735.87,2,13.0,4,Non-Travel,Yes,3.0,3,3,2,0,No
EMP00357,38,Engineering,Manager,11285.64,1,1.0,5,Travel_Rarely,No,3.0,4,4,1,0,No
EMP00089,43,Marketing,Junior,6384.99,3,6.0,5,Travel_Rarely,No,3.0,3,4,3,1,No
EMP01168,45,Sales,Manager,10086.36,5,1.0,3,Travel_Rarely,No,2.0,4,1,5,1,No
EMP00902,31,Sales,Junior,4815.6,1,10.0,4,Travel_Rarely,No,3.0,3,3,1,0,No
EMP00860,30,R&D,Intern,,10,,4,Travel_Rarely,Yes,,2,3,2,0,No
EMP01059,33,Sales,Junior,5867.05,13,1.0,3,Travel_Rarely,Yes,3.0,3,4,3,0,Yes
EMP01142,41,R&D,Junior,4753.21,3,9.0,2,Travel_Rarely,Yes,3.0,2,3,2,0,Yes
EMP00954,47,Engineering,Executive,15563.6,9,1.0,1,Travel_Frequently,No,3.0,4,2,4,1,Yes
EMP00146,43,Sales,Senior,9064.45,11,31.0,3,Travel_Rarely,No,2.0,4,3,6,0,Yes
EMP01131,53,HR,Senior,7751.76,3,1.0,4,Travel_Rarely,No,3.0,3,3,0,0,No
EMP00463,47,Marketing,Junior,4552.93,1,8.0,5,Travel_Frequently,No,4.0,3,3,1,0,Yes
EMP01238,29,Sales,Manager,10195.05,7,38.0,4,Travel_Rarely,Yes,3.0,2,3,1,1,No
EMP01473,32,Engineering,Senior,7699.67,3,2.0,5,Travel_Rarely,Yes,4.0,3,3,1,0,Yes
EMP00404,37,R&D,Intern,3563.81,7,28.0,4,Travel_Rarely,No,2.0,3,4,0,0,No
EMP00138,40,Sales,Junior,3596.41,0,9.0,2,Travel_Rarely,No,3.0,3,3,2,0,No
EMP00867,34,Engineering,Senior,7171.79,6,4.0,2,Travel_Rarely,Yes,3.0,3,3,1,0,No
EMP00240,38,R&D,Manager,9890.28,1,1.0,2,Travel_Frequently,Yes,4.0,2,2,2,0,No
EMP00827,32,Marketing,Junior,5700.26,2,23.0,4,Travel_Rarely,No,3.0,2,3,1,0,No
EMP00542,42,Engineering,Junior,4686.93,2,1.0,4,Travel_Rarely,No,3.0,2,3,4,0,No
EMP01024,36,R&D,Senior,8009.28,9,12.0,2,Non-Travel,Yes,3.0,1,3,1,0,No
EMP00370,30,R&D,Manager,11080.13,2,7.0,5,Travel_Rarely,No,2.0,3,3,2,0,No
EMP01213,27,Sales,Junior,4422.7,4,3.0,2,Travel_Rarely,No,3.0,2,3,3,0,No
EMP00504,33,Marketing,Junior,4216.06,2,10.0,2,Travel_Rarely,No,1.0,4,2,3,0,No
EMP01480,28,Sales,Junior,4431.65,5,1.0,3,Travel_Frequently,No,2.0,3,2,4,0,No
EMP00814,52,R&D,Junior,4594.01,3,2.0,4,Travel_Rarely,No,3.0,4,3,2,0,No
EMP00205,27,Engineering,Junior,5041.19,5,15.0,3,Travel_Rarely,No,4.0,2,3,0,0,No
EMP01199,34,Engineering,Manager,9475.92,2,1.0,2,Non-Travel,No,3.0,4,4,2,0,No
EMP01146,35,Sales,Manager,12101.3,15,16.0,2,Travel_Frequently,No,2.0,2,4,1,0,No
EMP00458,34,Engineering,Senior,5876.55,1,5.0,3,Travel_Frequently,No,4.0,3,3,1,0,No
EMP00184,48,Sales,Senior,7193.45,4,6.0,3,Travel_Rarely,Yes,2.0,2,3,3,0,No
EMP00281,51,Sales,Manager,11629.51,3,6.0,4,Travel_Frequently,No,3.0,2,3,0,1,No
EMP00477,35,Sales,Junior,3857.15,3,36.0,2,Travel_Rarely,Yes,1.0,1,1,3,1,Yes
EMP01433,28,R&D,Senior,7742.58,2,1.0,4,Travel_Frequently,No,4.0,2,4,2,0,No
EMP00931,50,R&D,Junior,5421.06,4,10.0,4,Travel_Frequently,No,3.0,2,3,3,1,No
EMP01105,44,HR,Senior,7954.67,5,8.0,3,Travel_Rarely,No,3.0,2,4,3,1,No
EMP00308,34,Marketing,Intern,2637.5,2,4.0,3,Travel_Rarely,No,1.0,4,3,2,1,No
EMP00420,42,Sales,Junior,5103.27,4,2.0,3,Travel_Frequently,No,4.0,3,3,0,0,No
EMP01135,36,Engineering,Junior,3870.95,1,8.0,2,Non-Travel,No,3.0,3,4,0,0,No
EMP01222,36,Engineering,Junior,4900.06,3,4.0,3,Travel_Frequently,No,3.0,1,3,3,0,No
EMP00499,33,Engineering,Executive,18305.36,8,5.0,5,Travel_Rarely,No,2.0,3,2,1,0,No
EMP01487,34,R&D,Intern,3507.33,0,22.0,3,Travel_Rarely,No,3.0,4,1,2,0,Yes
EMP01267,40,Sales,Senior,7212.42,1,3.0,5,Travel_Rarely,No,4.0,3,4,1,0,No
EMP00471,45,Sales,Intern,3869.4,3,2.0,3,Travel_Rarely,No,3.0,3,3,3,0,Yes
EMP01155,39,Engineering,Junior,6935.08,19,11.0,3,Travel_Frequently,No,1.0,3,3,0,0,No
EMP01229,20,Sales,Manager,11244.75,0,1.0,5,Travel_Rarely,No,1.0,3,2,2,0,Yes
EMP00602,26,Sales,Junior,3592.9,2,1.0,2,Travel_Rarely,No,4.0,4,3,3,1,No
EMP01407,32,R&D,Intern,3598.88,7,4.0,2,Travel_Rarely,No,3.0,3,4,2,0,No
EMP00789,22,Engineering,Junior,5259.66,2,6.0,4,Travel_Rarely,Yes,3.0,3,4,2,0,Yes
EMP00530,38,R&D,Junior,5962.7,3,3.0,4,Travel_Rarely,No,4.0,4,3,2,0,No
EMP00310,42,Engineering,Senior,7416.34,6,1.0,2,Travel_Rarely,No,2.0,3,3,1,0,No
EMP00932,37,R&D,Senior,6134.69,3,9.0,2,Travel_Rarely,No,3.0,3,3,4,0,Yes
EMP01421,28,Engineering,Junior,6248.46,4,3.0,5,Travel_Rarely,No,4.0,4,4,6,0,No
EMP00072,31,Sales,Junior,5162.87,7,3.0,3,Travel_Rarely,No,4.0,3,3,4,0,No
EMP01452,40,Marketing,Junior,4398.9,1,12.0,3,Travel_Rarely,Yes,3.0,2,3,4,0,Yes
EMP00874,28,HR,Senior,9432.74,8,1.0,4,Travel_Rarely,Yes,2.0,1,3,3,0,No
EMP00764,44,Engineering,Manager,10281.23,3,12.0,4,Travel_Rarely,No,3.0,2,3,1,0,Yes
EMP00826,30,R&D,Senior,6468.23,1,1.0,2,Travel_Rarely,No,4.0,4,3,1,0,No
EMP00799,39,Marketing,Junior,4786.4,1,16.0,3,Travel_Rarely,Yes,2.0,1,2,2,1,No
EMP00069,50,Engineering,Junior,4497.06,3,2.0,3,Travel_Rarely,No,2.0,4,3,4,0,No
EMP00059,47,HR,Senior,6448.81,1,14.0,4,Travel_Rarely,Yes,2.0,2,2,5,1,No
EMP00319,30,HR,Senior,8884.39,10,1.0,4,Travel_Frequently,No,3.0,2,4,2,0,No
EMP00561,20,R&D,Junior,3703.65,0,8.0,3,Travel_Frequently,No,2.0,3,3,5,1,No
EMP00242,53,R&D,Senior,8832.1,2,3.0,5,Travel_Frequently,No,2.0,4,3,3,0,Yes
EMP01385,36,R&D,Senior,6994.3,3,8.0,3,Non-Travel,No,4.0,3,4,0,0,No
EMP00791,31,Sales,Junior,6984.42,11,1.0,4,Non-Travel,No,3.0,3,1,4,0,No
EMP01153,38,HR,Junior,4200.52,2,31.0,2,Travel_Rarely,No,2.0,3,3,3,1,No
EMP00227,39,R&D,Junior,5852.4,3,1.0,5,Travel_Frequently,Yes,2.0,1,4,5,0,Yes
EMP00612,49,Engineering,Junior,5869.1,5,3.0,2,Travel_Rarely,Yes,2.0,2,4,2,1,No
EMP00198,46,R&D,Senior,8099.13,2,32.0,4,Travel_Rarely,No,3.0,3,4,2,0,No
EMP00143,34,Sales,Senior,7506.59,10,1.0,2,Travel_Rarely,Yes,3.0,2,3,5,0,Yes
EMP00654,35,Marketing,Manager,11339.18,2,7.0,5,Travel_Rarely,No,3.0,4,3,2,0,No
EMP01204,38,Marketing,Manager,10410.8,2,1.0,4,Travel_Rarely,Yes,2.0,3,3,2,0,Yes
EMP01008,33,HR,Senior,7762.95,6,13.0,2,Non-Travel,No,4.0,2,3,2,0,Yes
EMP00158,29,Marketing,Junior,5647.16,5,5.0,4,Travel_Rarely,No,2.0,3,3,1,0,No
EMP01281,32,Engineering,Junior,4180.66,1,24.0,1,Travel_Rarely,No,3.0,3,3,2,0,No
EMP00845,45,HR,Junior,5088.59,4,7.0,4,Non-Travel,Yes,2.0,2,2,0,0,No
EMP01302,38,Engineering,Junior,3760.82,3,3.0,3,Travel_Rarely,No,3.0,2,2,5,1,No
EMP00774,34,Engineering,Senior,7290.41,9,6.0,2,Travel_Rarely,No,3.0,3,3,1,1,No
EMP00591,31,R&D,Junior,4611.78,1,1.0,3,Travel_Frequently,No,2.0,2,2,2,0,No
EMP00493,35,Engineering,Manager,10240.6,2,17.0,4,Travel_Rarely,No,3.0,2,3,4,0,No
EMP00889,44,R&D,Senior,7802.96,1,6.0,5,Non-Travel,No,3.0,2,3,0,0,No
EMP00598,49,Sales,Senior,6026.68,3,11.0,1,Travel_Rarely,No,4.0,4,3,2,0,No
EMP01037,24,Engineering,Senior,7180.0,0,10.0,4,Travel_Frequently,No,2.0,3,3,4,0,No
EMP00480,31,Sales,Senior,5413.38,0,15.0,2,Travel_Rarely,No,3.0,2,3,4,1,No
EMP00800,38,R&D,Junior,4722.38,2,9.0,4,Travel_Frequently,No,2.0,3,3,4,0,Yes
EMP01169,25,Engineering,Senior,7295.77,2,6.0,3,Travel_Rarely,No,3.0,2,3,1,0,No
EMP01174,47,Sales,Junior,6163.2,6,1.0,4,Travel_Rarely,No,3.0,2,3,4,0,No
EMP00485,41,Marketing,Senior,6418.15,6,3.0,3,Travel_Rarely,No,3.0,3,4,4,0,No
EMP00288,40,HR,Senior,7409.79,8,19.0,2,Travel_Rarely,Yes,3.0,2,2,1,1,No
EMP00716,21,R&D,Manager,8974.86,1,2.0,1,Travel_Rarely,No,4.0,2,4,2,0,Yes
EMP00102,47,R&D,Junior,4076.6,1,2.0,3,Travel_Rarely,Yes,2.0,2,3,1,0,Yes
EMP00746,26,HR,Manager,10086.44,6,2.0,2,Travel_Frequently,Yes,2.0,2,3,2,0,Yes
EMP01208,42,R&D,Junior,5485.27,9,1.0,2,Travel_Frequently,No,3.0,3,2,1,1,No
EMP01149,58,Engineering,Junior,4958.81,3,3.0,5,Travel_Frequently,No,2.0,4,3,5,1,No
EMP01460,31,Marketing,Junior,5071.96,6,1.0,2,Travel_Rarely,No,2.0,3,3,6,0,No
EMP01499,51,Sales,Intern,5571.92,12,2.0,5,Travel_Rarely,Yes,2.0,3,1,2,0,No
EMP00646,37,R&D,Manager,12519.34,10,11.0,5,Travel_Frequently,Yes,3.0,3,3,5,0,Yes
EMP00353,31,HR,Junior,3675.98,1,13.0,2,Travel_Rarely,No,2.0,4,3,2,0,No
EMP01101,46,Marketing,Senior,8232.91,4,7.0,4,Non-Travel,Yes,3.0,2,3,2,0,No
EMP00437,50,Engineering,Junior,2239.89,1,1.0,1,Travel_Rarely,No,3.0,2,3,2,0,No
EMP00722,34,Engineering,Intern,2200.0,1,1.0,4,Non-Travel,Yes,1.0,3,3,1,0,Yes
EMP00066,23,Sales,Intern,4410.19,2,3.0,3,Non-Travel,No,4.0,2,3,1,0,No
EMP01484,42,Sales,Junior,6297.49,13,4.0,3,Travel_Frequently,No,2.0,3,3,4,0,No
EMP00718,36,Sales,Manager,9487.96,2,3.0,2,Travel_Frequently,No,3.0,2,2,1,0,Yes
EMP00926,20,Engineering,Senior,5598.95,0,19.0,3,Travel_Rarely,Yes,2.0,2,3,1,0,No
EMP00886,22,Engineering,Manager,10883.81,1,1.0,4,Travel_Rarely,No,2.0,2,4,1,0,Yes
EMP01455,40,Engineering,Junior,4617.07,4,17.0,2,Travel_Frequently,Yes,3.0,2,3,2,1,Yes
EMP00995,37,Engineering,Senior,6971.55,1,3.0,4,Travel_Frequently,No,3.0,1,3,1,0,No
EMP00312,34,Engineering,Senior,7031.41,0,2.0,3,Non-Travel,No,3.0,4,3,2,0,No
EMP00489,35,R&D,Intern,4224.59,4,35.0,4,Travel_Rarely,Yes,3.0,1,3,1,0,Yes
EMP01317,40,HR,Junior,5180.67,6,10.0,3,Travel_Rarely,Yes,2.0,1,3,5,0,Yes
EMP00520,37,Sales,Manager,9508.14,1,7.0,4,Travel_Rarely,Yes,3.0,3,3,2,0,No
EMP01445,26,Marketing,Senior,6359.61,1,7.0,1,Non-Travel,No,2.0,3,3,0,0,No
EMP01248,40,Sales,Junior,6527.92,4,15.0,5,Travel_Rarely,No,3.0,2,3,3,0,No
EMP01307,30,R&D,Senior,6934.29,4,9.0,2,Travel_Frequently,Yes,3.0,2,3,4,0,No
EMP01355,39,Sales,Junior,4211.9,1,1.0,2,Travel_Rarely,No,4.0,3,3,2,0,No
EMP00182,44,R&D,Executive,16682.7,6,10.0,4,Travel_Frequently,No,3.0,2,2,2,0,No
EMP00200,43,HR,Manager,11091.25,6,8.0,5,Travel_Rarely,Yes,2.0,2,3,5,0,No
EMP01318,27,HR,Junior,4230.76,1,1.0,3,Travel_Rarely,No,1.0,4,2,5,1,No
EMP00797,31,Engineering,Intern,3486.17,4,12.0,4,Travel_Rarely,No,1.0,4,2,2,0,No
EMP00337,41,Sales,Intern,3345.84,1,1.0,5,Travel_Rarely,No,4.0,4,4,7,0,No
EMP01332,48,Sales,Senior,7365.9,5,20.0,4,Travel_Rarely,Yes,3.0,2,3,2,0,Yes
EMP01078,44,HR,Manager,9992.92,4,7.0,1,Travel_Rarely,No,4.0,3,3,3,0,No
EMP00047,39,R&D,Junior,5063.28,4,20.0,4,Non-Travel,No,1.0,3,1,3,0,Yes
EMP00403,37,R&D,Junior,4271.72,3,1.0,3,Travel_Frequently,No,3.0,3,3,1,0,No
EMP00355,30,Engineering,Junior,5583.47,1,5.0,5,Travel_Rarely,No,3.0,2,4,1,0,Yes
EMP00422,46,Marketing,Junior,3250.74,2,1.0,1,Travel_Rarely,No,3.0,3,3,1,0,No
EMP00745,47,Engineering,Junior,4717.69,3,1.0,2,Travel_Frequently,Yes,2.0,2,2,2,0,Yes
EMP00371,20,R&D,Manager,9887.41,0,2.0,4,Travel_Frequently,Yes,3.0,2,3,1,0,No
EMP00830,35,HR,Manager,10026.73,5,5.0,2,Travel_Rarely,No,4.0,4,2,6,0,No
EMP01183,23,Marketing,Junior,5083.37,3,2.0,3,Travel_Rarely,Yes,2.0,1,3,0,0,No
EMP00668,49,Sales,Executive,17296.72,10,18.0,4,Travel_Rarely,Yes,4.0,2,4,0,1,No
EMP00730,29,Sales,Junior,4341.3,1,19.0,2,Travel_Rarely,No,3.0,2,3,1,0,Yes
EMP00871,34,Sales,Senior,9715.53,14,13.0,4,Travel_Rarely,No,2.0,3,1,1,1,No
EMP00659,40,R&D,Senior,6081.76,3,14.0,2,Travel_Rarely,No,4.0,3,3,0,0,No
EMP01412,32,Sales,Manager,9829.73,3,1.0,2,Travel_Rarely,No,2.0,2,3,3,1,No
EMP00174,24,Sales,Junior,5192.6,3,9.0,4,Non-Travel,No,3.0,3,4,4,0,No
EMP00872,50,HR,Senior,7966.8,4,3.0,5,Non-Travel,Yes,3.0,3,3,0,0,Yes
EMP01325,35,Sales,Junior,3701.26,4,1.0,2,Travel_Rarely,No,3.0,2,4,1,0,No
EMP01237,32,HR,Junior,5442.49,8,4.0,4,Travel_Rarely,Yes,2.0,3,2,3,1,No
EMP01092,48,Sales,Intern,3063.9,2,3.0,2,Travel_Rarely,No,3.0,2,3,3,1,No
EMP00802,43,Sales,Manager,10044.19,3,9.0,3,Travel_Rarely,Yes,2.0,3,3,3,1,No
EMP01148,48,Sales,Manager,10724.97,7,3.0,3,Travel_Rarely,No,1.0,3,3,4,0,No
EMP01483,46,Engineering,Senior,6572.25,2,1.0,4,Non-Travel,No,4.0,3,3,4,0,No
EMP00573,54,Engineering,Senior,7074.93,2,37.0,4,Travel_Rarely,No,4.0,2,3,1,1,No
EMP01451,31,Sales,Junior,4164.46,2,3.0,4,Non-Travel,Yes,2.0,2,4,3,0,No
EMP01079,40,Engineering,Senior,7594.35,2,4.0,4,Non-Travel,No,2.0,2,3,1,0,Yes
EMP01264,40,Marketing,Senior,8253.2,1,1.0,4,Travel_Rarely,No,3.0,3,3,3,1,No
EMP01448,23,Sales,Manager,10234.67,3,16.0,3,Travel_Frequently,No,1.0,3,3,3,0,No
EMP01334,49,Sales,Junior,3195.96,3,6.0,3,Travel_Rarely,Yes,3.0,2,4,5,0,Yes
EMP00696,42,Marketing,Manager,11752.15,15,8.0,2,Travel_Rarely,No,2.0,3,3,1,0,No
EMP00822,42,Engineering,Manager,9370.25,6,1.0,1,Non-Travel,No,4.0,3,3,2,0,No
EMP00545,37,Sales,Junior,5437.56,9,1.0,3,Travel_Rarely,Yes,2.0,1,4,5,0,Yes
EMP00115,39,Engineering,Junior,6557.91,7,10.0,4,Non-Travel,No,3.0,2,4,1,0,No
EMP00306,30,R&D,Junior,6119.24,2,24.0,5,Travel_Rarely,No,4.0,4,3,5,0,No
EMP00124,38,Engineering,Junior,5239.07,2,19.0,3,Travel_Frequently,No,3.0,2,4,2,0,No
EMP01040,26,Engineering,Senior,8386.4,6,8.0,3,Non-Travel,Yes,2.0,2,3,1,0,No
EMP00695,30,Engineering,Senior,6374.41,1,8.0,2,Non-Travel,No,3.0,4,3,2,1,No
EMP00333,30,Sales,Junior,4163.49,1,10.0,1,Travel_Rarely,Yes,2.0,3,3,3,0,Yes
EMP00364,26,Engineering,Manager,11591.16,6,16.0,1,Travel_Frequently,No,3.0,3,2,0,1,No
EMP00018,36,R&D,Junior,5469.28,8,1.0,3,Travel_Rarely,No,4.0,4,3,3,0,No
EMP00264,36,Engineering,Intern,2200.0,1,1.0,3,Travel_Rarely,No,2.0,4,3,3,1,No
EMP00279,28,Sales,Senior,7266.5,5,1.0,4,Travel_Rarely,No,4.0,4,4,4,0,No
EMP01309,44,Sales,Senior,8252.66,4,3.0,4,Travel_Frequently,No,3.0,2,3,1,0,No
EMP01044,41,Marketing,Senior,7001.48,1,12.0,4,Travel_Rarely,No,3.0,2,3,1,0,No
EMP01134,41,R&D,Senior,7058.84,1,6.0,3,Travel_Frequently,Yes,2.0,1,3,1,1,No
EMP01319,56,Sales,Manager,10140.89,7,3.0,2,Travel_Rarely,Yes,2.0,2,3,2,1,No
EMP00673,50,R&D,Senior,5910.51,1,7.0,2,Travel_Rarely,No,3.0,3,4,1,0,No
EMP00619,24,Sales,Junior,3786.84,3,24.0,2,Travel_Rarely,No,3.0,3,4,4,1,No
EMP00412,36,Engineering,Junior,3983.0,0,28.0,2,Non-Travel,No,3.0,3,4,2,0,No
EMP01413,43,R&D,Senior,7007.81,4,4.0,4,Travel_Frequently,No,3.0,3,3,3,0,Yes
EMP01180,44,Marketing,Junior,4147.7,3,3.0,3,Travel_Rarely,No,2.0,2,4,1,0,No
EMP00804,40,Engineering,Senior,7338.11,2,15.0,3,Travel_Rarely,No,2.0,4,2,0,0,No
EMP00034,41,R&D,Intern,3234.79,0,6.0,3,Travel_Rarely,Yes,1.0,1,3,3,1,No
EMP00836,28,Sales,Junior,5706.88,1,12.0,4,Travel_Frequently,No,2.0,2,2,2,0,No
EMP00594,33,R&D,Executive,15449.05,2,9.0,4,Travel_Rarely,No,4.0,2,4,1,1,No
EMP00386,32,Engineering,Senior,5972.58,3,2.0,2,Travel_Rarely,No,4.0,2,4,1,0,No
EMP00983,20,Marketing,Junior,4264.62,0,1.0,5,Travel_Rarely,No,4.0,2,4,1,0,Yes
EMP01362,44,Engineering,Junior,5730.86,4,2.0,3,Travel_Rarely,No,4.0,2,4,2,1,No
EMP01364,33,Sales,Manager,10507.5,2,10.0,3,Non-Travel,Yes,1.0,3,3,0,1,Yes
EMP00269,29,Marketing,Junior,5866.99,6,7.0,3,Non-Travel,No,3.0,3,2,2,0,Yes
EMP01115,23,Engineering,Senior,5952.4,2,10.0,2,Travel_Frequently,No,3.0,2,4,4,0,No
EMP00466,37,Sales,Junior,4980.83,2,10.0,4,Non-Travel,No,4.0,4,1,2,1,No
EMP01181,35,Sales,Senior,7317.97,3,32.0,4,Travel_Frequently,No,3.0,4,3,2,1,No
EMP00916,34,R&D,Junior,5010.9,1,23.0,4,Travel_Rarely,No,3.0,3,3,0,0,No
EMP01019,36,Sales,Junior,6983.13,14,1.0,3,Travel_Rarely,No,3.0,4,3,6,0,No
EMP01498,34,Engineering,Senior,7830.89,5,9.0,4,Travel_Rarely,No,4.0,2,4,5,1,No
EMP00350,30,R&D,Junior,,2,1.0,1,Travel_Rarely,Yes,,3,4,3,0,No
EMP00758,26,Sales,Senior,5495.32,1,6.0,2,Travel_Rarely,No,1.0,4,3,2,0,No
EMP00366,28,R&D,Senior,7584.74,4,10.0,3,Non-Travel,Yes,3.0,3,3,2,0,No
EMP01109,30,Sales,Senior,7856.02,4,7.0,3,Travel_Rarely,No,3.0,4,4,2,1,No
EMP00910,34,R&D,Senior,6271.71,1,10.0,3,Travel_Rarely,No,3.0,3,2,4,0,No
EMP01171,43,R&D,Junior,5781.33,5,8.0,4,Travel_Rarely,No,1.0,2,3,3,1,No
EMP00820,29,Engineering,Senior,7075.54,1,10.0,4,Travel_Rarely,No,3.0,3,4,4,0,Yes
EMP00334,27,Engineering,Junior,4845.15,1,4.0,4,Travel_Rarely,Yes,3.0,3,3,3,0,Yes
EMP00284,47,Sales,Senior,8345.71,11,1.0,3,Travel_Rarely,Yes,3.0,2,4,8,0,No
EMP00449,24,R&D,Junior,6248.28,3,13.0,4,Non-Travel,No,2.0,1,1,2,1,No
EMP00094,42,Marketing,Executive,14682.54,1,16.0,2,Travel_Rarely,No,4.0,3,3,3,1,No
EMP01408,49,HR,Manager,10576.33,3,14.0,4,Travel_Rarely,No,3.0,3,3,0,1,No
EMP00587,42,Sales,Senior,7400.81,2,4.0,3,Travel_Rarely,No,4.0,4,2,0,0,No
EMP01492,51,R&D,Senior,6574.32,2,30.0,3,Travel_Rarely,Yes,1.0,2,3,2,1,Yes
EMP00509,34,R&D,Senior,6579.1,2,1.0,3,Travel_Rarely,No,3.0,4,2,3,1,No
EMP00915,38,Sales,Junior,4747.06,5,5.0,2,Travel_Rarely,No,3.0,4,3,1,0,No
EMP00324,45,Engineering,Senior,7652.76,4,1.0,3,Travel_Rarely,No,3.0,2,3,3,1,No
EMP00274,21,Marketing,Senior,6489.11,1,1.0,3,Non-Travel,No,3.0,4,4,1,0,No
EMP00162,44,Engineering,Intern,2611.97,2,1.0,4,Travel_Frequently,Yes,3.0,1,4,1,0,Yes
EMP00999,37,Engineering,Senior,6682.71,3,3.0,3,Travel_Rarely,Yes,2.0,4,3,0,0,No
EMP00924,37,R&D,Senior,7843.15,10,15.0,1,Travel_Rarely,No,2.0,4,3,2,0,No
EMP00815,35,R&D,Senior,8603.71,7,3.0,4,Travel_Rarely,Yes,1.0,1,3,0,0,No
EMP01114,46,Sales,Junior,5791.35,4,14.0,4,Travel_Rarely,Yes,3.0,2,4,4,0,No
EMP00113,40,HR,Intern,5186.53,12,6.0,4,Travel_Rarely,Yes,2.0,2,3,1,0,No
